62,45,83
759,138,461
621,230,370
495,221,922
306,469,578
291,7,835
871,508,674
87,853,657
791,405,931
274,364,942
463,729,970
812,6,421
339,202,859
320,18,591
794,963,814
693,255,519
670,132,518
529,892,312
920,324,961
501,114,308
338,148,611
43,616,525
548,342,268
617,752,895
827,786,81
243,214,546
815,74,279
52,962,374
141,623,627
655,382,334
191,621,666
133,321,902
948,983,140
44,640,482
885,172,439
655,386,600
792,574,616
545,960,904
416,725,252
10,654,582
84,338,861
181,609,955
303,836,209
17,632,959
790,371,192
786,285,8
585,905,684
558,53,391
127,165,953
414,125,538
95,126,855
261,654,808
963,529,670
306,879,246
626,386,887
704,753,48
724,756,45
506,281,671
694,667,938
317,83,1000
225,145,755
191,750,760
10,175,38
741,970,759
32,908,308
901,637,776
139,56,46
68,419,445
598,596,846
40,972,925
94,23,317
27,299,752
35,660,629
861,887,179
191,124,900
655,340,510
933,261,218
826,279,25
886,880,306
874,237,642
291,890,759
883,700,388
744,440,680
703,741,540
552,935,791
656,523,686
306,557,548
256,726,375
429,911,338
252,375,196
792,490,952
574,683,325
978,739,370
313,587,233
102,745,546
835,138,264
165,682,244
29,237,104
406,245,646
388,728,971
